,importance
cp_2,1.5396758354454925
cp_3,1.3213431539302805
sex,-1.122912258332984
exang,-0.8824561237995785
thal_2,0.7882261544217699
ca,-0.7558102621575967
thalach,0.6723726345957609
cp_1,0.6603155484591922
thal_3,-0.5757534265997637
restecg_1,0.4736611254385105
thal_1,0.4343288022586304
slope_2,0.41025052128252426
chol,-0.33833030088087873
oldpeak,-0.2976587584207829
trestbps,-0.21905628295294538
slope_1,-0.1964370278117908
age,0.14014994109013953
fbs,0.0748549675136877
restecg_2,-0.042117436850741
